"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Lop Buri",2012,30,32,51,48,33,58,108,112,113,121,41,0,747
"Lop Buri",2013,32,28,19,7,22,38,58,33,20,26,28,16,327
"Lop Buri",2014,11,11,7,18,25,27,14,34,11,30,25,13,226
"Lop Buri",2015,11,20,27,33,89,55,48,73,104,99,91,24,674
"Lop Buri",2016,19,16,10,2,4,3,4,6,16,8,6,2,96
"Lop Buri",2017,4,2,1,0,4,3,2,6,5,1,0,1,29
"Lop Buri",2018,3,1,1,5,18,38,73,53,44,38,15,27,316
"Lop Buri",2019,42,44,42,13,17,32,48,30,57,41,14,8,388
"Lop Buri",2020,25,15,17,11,15,24,68,55,76,42,12,0,360
"Mae Hong Son",2011,2,0,1,3,11,15,9,4,4,4,4,0,57
"Mae Hong Son",2012,0,0,0,0,3,6,14,5,18,12,4,4,66
"Mae Hong Son",2013,3,0,1,11,30,76,109,54,43,26,28,3,384
"Mae Hong Son",2014,1,2,2,7,10,27,35,43,13,10,6,0,156
"Mae Hong Son",2015,1,1,0,1,2,16,40,40,22,7,14,4,148
"Mae Hong Son",2016,4,5,6,8,24,11,37,41,22,18,10,7,193
"Mae Hong Son",2017,1,0,0,7,8,21,22,21,10,12,9,12,123
"Mae Hong Son",2018,0,1,1,1,13,32,26,12,8,9,3,5,111
"Mae Hong Son",2019,5,3,1,3,0,1,4,12,15,6,5,1,56
"Mae Hong Son",2020,1,0,4,4,2,25,70,39,20,24,5,3,197
"Maha Sarakham",2011,4,2,4,5,32,59,69,47,47,22,21,5,317
"Maha Sarakham",2012,8,8,6,7,28,39,51,37,45,63,53,26,371
"Maha Sarakham",2013,37,44,66,22,64,205,219,185,110,41,22,7,1022
"Maha Sarakham",2014,2,1,3,1,3,8,19,17,22,18,7,4,105
"Maha Sarakham",2015,2,3,12,23,41,41,42,54,87,42,43,2,392
"Maha Sarakham",2016,26,18,14,6,1,6,20,32,20,25,16,6,190
"Maha Sarakham",2017,4,4,6,16,19,32,31,28,17,19,7,2,185
"Maha Sarakham",2018,7,2,5,6,26,79,46,42,11,18,17,17,276
"Maha Sarakham",2019,25,16,39,20,8,89,97,89,84,51,25,13,556
"Maha Sarakham",2020,13,13,15,33,73,72,133,93,35,8,7,2,497
"Mukdahan",2011,0,1,3,2,7,12,22,5,3,0,0,0,55
"Mukdahan",2012,1,1,0,5,4,18,12,21,12,10,9,5,98
"Mukdahan",2013,8,8,10,18,100,81,42,31,13,3,3,2,319
"Mukdahan",2014,1,0,0,0,6,7,6,4,2,2,0,0,28
"Mukdahan",2015,0,0,0,0,11,20,17,19,18,7,16,5,113
"Mukdahan",2016,9,0,1,2,1,10,18,7,15,8,4,1,76
"Mukdahan",2017,0,3,2,8,5,21,18,8,4,2,1,0,72
"Mukdahan",2018,0,2,2,2,9,4,5,4,3,2,2,4,39
"Mukdahan",2019,0,2,8,11,16,40,29,27,6,6,1,0,146
"Mukdahan",2020,2,3,5,5,4,21,22,9,5,1,0,0,77
"Nakhon Nayok",2011,3,3,1,7,23,29,25,14,3,7,9,2,126
"Nakhon Nayok",2012,0,5,2,2,1,11,2,2,1,8,3,1,38
"Nakhon Nayok",2013,2,6,4,3,5,15,15,10,3,3,0,0,66
"Nakhon Nayok",2014,3,3,1,1,7,2,6,11,5,1,3,1,44
"Nakhon Nayok",2015,4,0,1,3,4,9,16,30,10,9,6,1,93
"Nakhon Nayok",2016,0,1,2,0,0,1,5,2,0,1,0,0,12
"Nakhon Nayok",2017,0,1,0,0,3,0,2,0,1,0,0,0,7
"Nakhon Nayok",2018,1,0,4,6,9,23,25,26,9,12,3,1,119
"Nakhon Nayok",2019,1,9,5,2,4,11,25,3,3,4,2,0,69
"Nakhon Nayok",2020,0,3,1,0,1,0,5,8,5,3,0,1,27
"Nakhon Pathom",2011,63,53,49,33,73,107,165,129,99,117,91,43,1022
"Nakhon Pathom",2012,40,16,25,27,19,34,39,69,133,97,109,74,682
